Comp_CompanyId,Comp_Name,Comp_Website,bronze_extracted_at,bronze_source_file,company_id,parent_company_id,has_multiple_sites,site_order
10543,HCO,,2025-09-18 11:45:13.289149,Legacy_companies.csv,10543,10543,False,1
11580,Easics,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11580,11580,False,1
11625,ams-OSRAM Valencia,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11625,11625,False,1
11652,Withings,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11652,11652,False,1
11664,THALES SIX Gennevilliers,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11664,11664,False,1
11675,Ledger,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11675,11675,False,1
11714,Polyn Technology Ltd.,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11714,11714,False,1
11737,CONTINENTAL Regensburg,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11737,11737,False,1
11747,Sifemto,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11747,11747,False,1
11748,Cegitek Innovation,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11748,11748,False,1
11764,Kapsch TrafficCom Vienna,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11764,11764,False,1
11778,ams-OSRAM AG Premstaetten,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11778,11778,False,1
11904,STMicroelectronics Catania,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11904,11904,False,1
11929,ENSTA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11929,11929,False,1
11945,STMicroelectronics (Grenoble 2) SAS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,11945,11945,False,1
12057,Senbiosys,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12057,12057,False,1
12058,WoodWelding SA,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12058,12058,False,1
12062,OLYTHE,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12062,12062,False,1
12065,TITAN DEFENSE,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12065,12065,False,1
12067,Allegro Microsystems Milpitas,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12067,12067,False,1
12086,VERMES Microdispensing,,2025-09-18 11:45:13.289149,Legacy_companies.csv,12086,12086,False,1
14106,Laclarée Vision,,2025-09-18 11:45:13.289149,Legacy_companies.csv,14106,14106,False,1
14146,ISD Integrated System Development,,2025-09-18 11:45:13.289149,Legacy_companies.csv,14146,14146,False,1
15153,Wise Integration,,2025-09-18 11:45:13.289149,Legacy_companies.csv,15153,15153,False,1
15157,SwitchESS,,2025-09-18 11:45:13.289149,Legacy_companies.csv,15157,15157,False,1
17186,Trinamix GmbH,,2025-09-18 11:45:13.289149,Legacy_companies.csv,17186,17186,False,1
17205,SILMACH,,2025-09-18 11:45:13.289149,Legacy_companies.csv,17205,17205,False,1
17208,SagaX,,2025-09-18 11:45:13.289149,Legacy_companies.csv,17208,17208,False,1
17230,LYNXEMI,,2025-09-18 11:45:13.289149,Legacy_companies.csv,17230,17230,False,1
17253,NuVasive Paris,,2025-09-18 11:45:13.289149,Legacy_companies.csv,17253,17253,False,1
