record_id,deal_name,pipeline,deal_stage,deal_status,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date,transformation_notes
7488,IZAR,Sales Pipeline,Qualified,Active,0,3100000,10,FTK,Unknown,ICALPS,ASIC,Opportunity,45337.48751,45930,21009,25725,27,Qualified,En cours,14/07/2025,Standard mapping applied
7492,Alboran-Amendment1,Sales Pipeline,Closed Won,Won,0,13000,100,Desogn_Service,Unknown,ICALPS,Change request,Opportunity,45350.71731,45362,10263,12139,39,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7493,VEZAD3-P&R,Sales Pipeline,Closed Won,Won,0,140000,100,Desogn_Service,Unknown,ICALPS,Design,Opportunity,45355.3962,45496,17566,19963,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7494,QUEMENES,Sales Pipeline,On-Hold,On-Hold,0,670000,33,FTK,Unknown,ICALPS,ASIC,Opportunity,45355.61433,45429,20933,25737,27,Negotiate,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7499,SALM-22FDX,Studies Pipeline,Closed Dead,Lost,0,0,1,Preetude,Unknown,ICALPS,Nouvelle preetude,Study,45371.68828,45838,1157,25707,27,Identification,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7500,Vildiur,Studies Pipeline,Closed Won,Won,0,24000,100,Preetude,Unknown,ICALPS,��tude en vue ASIC,Study,45371.68972,45560,10299,19916,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7501,URANUS 2 amendment,Sales Pipeline,Closed Won,Won,0,181440,100,Desogn_Service,Unknown,ICALPS,"Suite du projet, probablement au temps passe",Opportunity,45372.42413,45384,11778,NA,39,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7502,Migration production AMKOR,Sales Pipeline,On-Hold,On-Hold,0,130000,50,FTK,Unknown,ICALPS,Migration production AMKOR,Opportunity,45372.49649,45688,4247,19104,27,Negotiate,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7503,CAPELLA-PMU-Validation MPW2,Sales Pipeline,On-Hold,On-Hold,0,165000,50,Desogn_Service,Unknown,ICALPS,Validation MPW2,Opportunity,45372.65926,45537,17484,25640,27,Negotiate,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7504,CAPELLA-PMU-Validation Full Mask,Sales Pipeline,Closed Dead,Lost,0,100000,10,Desogn_Service,Unknown,ICALPS,Validation PMU final,Opportunity,45372.66397,45960,17484,25640,27,Negotiate,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
