company_record_id,company_name,company_owner,create_date,phone_number,last_activity_date,city,country_region,industry,legacy_contact_id,hubspot_contact_id,company_record_id_legacy,primary_contact_email,company_association_status
,Eth Zurich Gloriastrasse,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,9187,TBD,PENDING
,Ams-Osram Ag Rapperswill,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10263,TBD,PENDING
,Vibiscus,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10299,TBD,PENDING
,Dga Bruz,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10310,TBD,PENDING
,Gopro Technology France Sas,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10391,TBD,PENDING
,Airmems,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10412,TBD,PENDING
,Reflex Ces,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10423,TBD,PENDING
,Meta,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10456,TBD,PENDING
,Satt Sayens,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10525,TBD,PENDING
,Bartels Mikrotechnik,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10541,TBD,PENDING
,Hco,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,10543,TBD,PENDING
,Easics,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11580,TBD,PENDING
,Ams-Osram Valencia,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11625,TBD,PENDING
,Withings,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11652,TBD,PENDING
,Thales Six Gennevilliers,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11664,TBD,PENDING
,Ledger,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11675,TBD,PENDING
,Polyn Technology Ltd.,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11714,TBD,PENDING
,Continental Regensburg,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11737,TBD,PENDING
,Sifemto,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11747,TBD,PENDING
,Cegitek Innovation,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11748,TBD,PENDING
,Kapsch Trafficcom Vienna,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11764,TBD,PENDING
,Ams-Osram Ag Premstaetten,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11778,TBD,PENDING
,Stmicroelectronics Catania,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11904,TBD,PENDING
,Ensta,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11929,TBD,PENDING
,Stmicroelectronics (Grenoble 2) Sas,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,11945,TBD,PENDING
,Senbiosys,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,12057,TBD,PENDING
,Woodwelding Sa,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,12058,TBD,PENDING
,Olythe,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,12062,TBD,PENDING
